Processes: 1
Size: 1024 | Runs:    26.90 ms     30.64 ms        34.38 ms        37.63 ms        40.80 ms      | Avg Time:  3420.53 ms
Size: 1152 | Runs:    44.51 ms     48.18 ms        52.09 ms        56.03 ms        60.36 ms      | Avg Time:  3820.11 ms
Size: 1280 | Runs:    66.49 ms     72.75 ms        78.92 ms        84.92 ms        91.35 ms      | Avg Time:  6067.14 ms
Size: 1408 | Runs:    98.72 ms    106.61 ms       114.57 ms       122.68 ms       130.86 ms      | Avg Time:  7766.39 ms
Size: 1536 | Runs:   143.28 ms    155.65 ms       168.57 ms       180.93 ms       192.84 ms      | Avg Time: 12236.06 ms
Size: 1664 | Runs:   206.52 ms    220.98 ms       236.21 ms       250.65 ms       264.95 ms      | Avg Time: 14243.28 ms
Size: 1792 | Runs:   284.30 ms    303.02 ms       322.40 ms       341.42 ms       360.88 ms      | Avg Time: 18976.62 ms
Size: 1920 | Runs:   383.68 ms    406.01 ms       429.56 ms       452.50 ms       474.85 ms      | Avg Time: 22562.49 ms
Size: 2048 | Runs:   541.53 ms    606.90 ms       672.62 ms       738.74 ms       800.22 ms      | Avg Time: 64784.73 ms

Processes: 12
Size:  128 | Runs:     0.23 ms      0.42 ms         0.50 ms         0.66 ms         0.82 ms      | Avg Time:   162.43 ms
Size:  256 | Runs:     1.00 ms      1.20 ms         1.35 ms         1.46 ms         1.63 ms      | Avg Time:   160.42 ms
Size:  384 | Runs:     1.84 ms      2.10 ms         2.40 ms         2.56 ms         2.76 ms      | Avg Time:   212.82 ms
Size:  512 | Runs:     3.14 ms      3.50 ms         3.95 ms         4.31 ms         4.68 ms      | Avg Time:   365.68 ms
Size:  640 | Runs:     5.33 ms      6.08 ms         6.73 ms         7.28 ms         7.78 ms      | Avg Time:   590.14 ms
Size:  768 | Runs:     9.11 ms     10.46 ms        11.76 ms        13.16 ms        14.38 ms      | Avg Time:  1266.49 ms
Size:  896 | Runs:    15.89 ms     17.77 ms        19.32 ms        21.11 ms        22.77 ms      | Avg Time:  1612.13 ms
Size: 1024 | Runs:    26.00 ms     29.14 ms        32.53 ms        35.63 ms        38.64 ms      | Avg Time:  3096.66 ms
Size: 1152 | Runs:    42.08 ms     46.06 ms        49.77 ms        53.66 ms        57.55 ms      | Avg Time:  3661.25 ms
Size: 1280 | Runs:    63.37 ms     69.71 ms        75.73 ms        81.85 ms        87.97 ms      | Avg Time:  5966.62 ms
Size: 1408 | Runs:    95.22 ms    102.89 ms       110.67 ms       118.18 ms       125.94 ms      | Avg Time:  7470.96 ms
Size: 1536 | Runs:   137.10 ms    148.78 ms       160.81 ms       172.62 ms       184.47 ms      | Avg Time: 11535.70 ms
Size: 1664 | Runs:   198.33 ms    212.39 ms       226.43 ms       240.29 ms       254.43 ms      | Avg Time: 13811.39 ms
Size: 1792 | Runs:   273.69 ms    293.73 ms       313.95 ms       333.08 ms       352.50 ms      | Avg Time: 19357.46 ms
Size: 1920 | Runs:   375.37 ms    399.52 ms       422.43 ms       444.90 ms       467.81 ms      | Avg Time: 22789.25 ms
Size: 2048 | Runs:   540.14 ms    611.16 ms       681.81 ms       751.26 ms       823.45 ms      | Avg Time: 70731.37 ms

Processes: 13
Size:  128 | Runs:     0.32 ms      0.50 ms         0.65 ms         0.82 ms         1.01 ms      | Avg Time:   201.45 ms
Size:  256 | Runs:     1.23 ms      1.37 ms         1.51 ms         1.67 ms         1.89 ms      | Avg Time:   168.51 ms
Size:  384 | Runs:     2.21 ms      2.49 ms         2.69 ms         2.90 ms         3.18 ms      | Avg Time:   246.04 ms
Size:  512 | Runs:     3.58 ms      4.04 ms         4.54 ms         5.05 ms         5.60 ms      | Avg Time:   451.52 ms
