Processes: 1
Size: 2048 | Runs:   464.45 ms    541.88 ms       618.79 ms       684.86 ms       754.84 ms      | Avg Time: 69749.95 ms

Processes: 7
Size:  128 | Runs:     0.00 ms      0.00 ms         0.01 ms         0.01 ms         0.01 ms      | Avg Time:     2.30 ms
Size:  256 | Runs:     0.04 ms      0.06 ms         0.08 ms         0.10 ms         0.13 ms      | Avg Time:    19.55 ms
Size:  384 | Runs:     0.20 ms      0.27 ms         0.33 ms         0.40 ms         0.47 ms      | Avg Time:    62.87 ms
Size:  512 | Runs:     0.69 ms      0.93 ms         1.14 ms         1.37 ms         1.59 ms      | Avg Time:   211.83 ms
Size:  640 | Runs:     1.99 ms      2.36 ms         2.76 ms         3.13 ms         3.50 ms      | Avg Time:   361.51 ms
Size:  768 | Runs:     4.41 ms      5.35 ms         6.30 ms         7.34 ms         8.34 ms      | Avg Time:   940.13 ms
Size:  896 | Runs:     9.57 ms     10.88 ms        12.16 ms        13.43 ms        14.71 ms      | Avg Time:  1240.16 ms
Size: 1024 | Runs:    17.59 ms     20.30 ms        23.00 ms        25.90 ms        28.69 ms      | Avg Time:  2752.42 ms
Size: 1152 | Runs:    32.00 ms     34.96 ms        38.14 ms        41.35 ms        44.58 ms      | Avg Time:  3120.56 ms
Size: 1280 | Runs:    50.08 ms     55.51 ms        61.01 ms        66.51 ms        71.88 ms      | Avg Time:  5387.43 ms
Size: 1408 | Runs:    78.25 ms     85.11 ms        92.15 ms        99.00 ms       105.71 ms      | Avg Time:  6676.90 ms
Size: 1536 | Runs:   116.64 ms    127.75 ms       138.34 ms       149.16 ms       159.85 ms      | Avg Time: 10717.63 ms
Size: 1664 | Runs:   171.96 ms    183.99 ms       195.90 ms       207.77 ms       219.50 ms      | Avg Time: 11798.30 ms
Size: 1792 | Runs:   235.51 ms    251.76 ms       267.93 ms       284.13 ms       300.29 ms      | Avg Time: 16010.55 ms
Size: 1920 | Runs:   319.29 ms    337.82 ms       356.35 ms       375.03 ms       393.71 ms      | Avg Time: 18513.70 ms
Size: 2048 | Runs:   451.22 ms    507.66 ms       577.82 ms       648.76 ms       721.92 ms      | Avg Time: 65452.34 ms

Processes: 8
Size:  128 | Runs:     0.00 ms      0.01 ms         0.01 ms         0.01 ms         0.02 ms      | Avg Time:     2.70 ms
Size:  256 | Runs:     0.04 ms      0.06 ms         0.08 ms         0.10 ms         0.12 ms      | Avg Time:    17.86 ms
Size:  384 | Runs:     0.18 ms      0.25 ms         0.32 ms         0.39 ms         0.46 ms      | Avg Time:    60.73 ms
Size:  512 | Runs:     0.70 ms      0.94 ms         1.15 ms         1.37 ms         1.59 ms      | Avg Time:   213.89 ms
Size:  640 | Runs:     2.05 ms      2.42 ms         2.80 ms         3.19 ms         3.57 ms      | Avg Time:   376.70 ms
Size:  768 | Runs:     4.55 ms      5.53 ms         6.53 ms         7.52 ms         8.47 ms      | Avg Time:   955.32 ms
Size:  896 | Runs:     9.68 ms     10.96 ms        12.24 ms        13.55 ms        14.82 ms      | Avg Time:  1233.25 ms
Size: 1024 | Runs:    17.69 ms     20.55 ms        23.10 ms        26.01 ms        29.03 ms      | Avg Time:  2792.27 ms
Size: 1152 | Runs:    32.37 ms     35.69 ms        38.98 ms        42.23 ms        45.60 ms      | Avg Time:  3257.82 ms
Size: 1280 | Runs:    51.04 ms     56.52 ms        61.96 ms        67.50 ms        72.98 ms      | Avg Time:  5400.40 ms
Size: 1408 | Runs:    79.85 ms     86.15 ms        93.18 ms       100.23 ms       107.11 ms      | Avg Time:  6727.07 ms
Size: 1536 | Runs:   117.69 ms    128.72 ms       139.60 ms       150.19 ms       160.81 ms      | Avg Time: 10630.02 ms
Size: 1664 | Runs:   173.26 ms    185.58 ms       198.00 ms       210.31 ms       222.53 ms      | Avg Time: 12207.05 ms
Size: 1792 | Runs:   238.83 ms    255.09 ms       271.55 ms       287.85 ms       304.85 ms      | Avg Time: 16307.18 ms
Size: 1920 | Runs:   324.77 ms    344.04 ms       363.12 ms       382.06 ms       401.20 ms      | Avg Time: 19086.76 ms
Size: 2048 | Runs:   455.88 ms    513.62 ms       577.50 ms       641.81 ms       706.19 ms      | Avg Time: 60791.23 ms

Processes: 9
Size:  128 | Runs:     0.06 ms      0.10 ms         0.14 ms         0.17 ms         0.17 ms      | Avg Time:    34.10 ms
Size:  256 | Runs:     0.21 ms      0.25 ms         0.29 ms         0.33 ms         0.40 ms      | Avg Time:    42.06 ms
Size:  384 | Runs:     0.55 ms      0.68 ms         0.76 ms         0.85 ms         0.91 ms      | Avg Time:    95.61 ms
Size:  512 | Runs:     1.15 ms      1.43 ms         1.69 ms         1.98 ms         2.21 ms      | Avg Time:   245.78 ms
Size:  640 | Runs:     2.67 ms      3.06 ms         3.59 ms         4.10 ms         4.53 ms      | Avg Time:   439.28 ms
Size:  768 | Runs:     5.59 ms      6.78 ms         7.94 ms         9.08 ms        10.12 ms      | Avg Time:  1090.95 ms
Size:  896 | Runs:    11.42 ms     12.84 ms        14.15 ms        15.62 ms        17.03 ms      | Avg Time:  1340.14 ms
Size: 1024 | Runs:    20.26 ms     23.04 ms        25.85 ms        28.85 ms        31.69 ms      | Avg Time:  2876.95 ms
Size: 1152 | Runs:    34.66 ms     38.17 ms        41.83 ms        45.56 ms        49.01 ms      | Avg Time:  3382.56 ms
Size: 1280 | Runs:    54.72 ms     60.43 ms        66.15 ms        71.87 ms        77.61 ms      | Avg Time:  5637.93 ms
Size: 1408 | Runs:    84.67 ms     91.74 ms        99.00 ms       105.94 ms       113.11 ms      | Avg Time:  6997.80 ms
Size: 1536 | Runs:   124.44 ms    133.93 ms       144.78 ms       156.12 ms       167.19 ms      | Avg Time: 10692.07 ms
Size: 1664 | Runs:   180.10 ms    192.82 ms       205.69 ms       218.08 ms       230.67 ms      | Avg Time: 12552.74 ms
Size: 1792 | Runs:   248.14 ms    265.29 ms       282.00 ms       299.08 ms       315.74 ms      | Avg Time: 16828.46 ms
Size: 1920 | Runs:   335.63 ms    355.30 ms       375.59 ms       396.02 ms       416.29 ms      | Avg Time: 19917.90 ms
Size: 2048 | Runs:   464.98 ms    526.71 ms       592.17 ms       653.50 ms       716.27 ms      | Avg Time: 59755.20 ms

Processes: 10
Size:  128 | Runs:     0.08 ms      0.16 ms         0.20 ms         0.24 ms         0.30 ms      | Avg Time:    59.85 ms
Size:  256 | Runs:     0.40 ms      0.47 ms         0.59 ms         0.71 ms         0.82 ms      | Avg Time:   100.61 ms
Size:  384 | Runs:     0.99 ms      1.18 ms         1.33 ms         1.54 ms         1.65 ms      | Avg Time:   154.92 ms
Size:  512 | Runs:     1.91 ms      2.27 ms         2.72 ms         3.15 ms         3.49 ms      | Avg Time:   355.29 ms
Size:  640 | Runs:     4.03 ms      4.61 ms         5.24 ms         5.86 ms         6.63 ms      | Avg Time:   597.04 ms
Size:  768 | Runs:     7.88 ms      9.14 ms        10.58 ms        11.86 ms        13.17 ms      | Avg Time:  1269.53 ms
Size:  896 | Runs:    14.62 ms     16.44 ms        17.94 ms        19.47 ms        21.03 ms      | Avg Time:  1504.67 ms
Size: 1024 | Runs:    24.56 ms     27.72 ms        30.84 ms        33.81 ms        36.72 ms      | Avg Time:  3082.24 ms
Size: 1152 | Runs:    40.03 ms     43.87 ms        47.65 ms        51.25 ms        55.13 ms      | Avg Time:  3602.47 ms
Size: 1280 | Runs:    61.07 ms     67.73 ms        73.91 ms        80.55 ms        86.75 ms      | Avg Time:  6203.04 ms
Size: 1408 | Runs:    94.93 ms    103.06 ms       111.21 ms       118.76 ms       127.07 ms      | Avg Time:  7902.05 ms
Size: 1536 | Runs:   139.27 ms    151.73 ms       163.36 ms       175.64 ms       189.45 ms      | Avg Time: 12301.68 ms
Size: 1664 | Runs:   203.27 ms    216.26 ms       230.13 ms       243.69 ms       257.46 ms      | Avg Time: 13454.18 ms
Size: 1792 | Runs:   278.24 ms    295.36 ms       313.36 ms       332.74 ms       350.77 ms      | Avg Time: 18468.19 ms
Size: 1920 | Runs:   372.89 ms    394.01 ms       416.40 ms       437.29 ms       460.01 ms      | Avg Time: 21643.41 ms
Size: 2048 | Runs:   520.70 ms    586.77 ms       650.46 ms       718.26 ms       786.93 ms      | Avg Time: 65134.15 ms

Processes: 11
Size:  128 | Runs:     0.08 ms      0.12 ms         0.16 ms         0.31 ms         0.37 ms      | Avg Time:    72.89 ms
Size:  256 | Runs:     0.46 ms      0.59 ms         0.66 ms         0.71 ms         0.77 ms      | Avg Time:    76.20 ms
Size:  384 | Runs:     0.93 ms      1.08 ms         1.22 ms         1.35 ms         1.59 ms      | Avg Time:   155.55 ms
Size:  512 | Runs:     1.99 ms      2.39 ms         2.84 ms         3.17 ms         3.57 ms      | Avg Time:   383.00 ms
