(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpicxx matmul.cpp -o matmul -lstdc++
(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root -np 1 ./matmul
Size:  896 | Runs: 1790.00ms 1811.86ms 1773.79ms 1807.83ms 1810.20ms | Avg: 1798.74ms
Size: 1024 | Runs: 3410.05ms 3991.60ms 3325.75ms 3526.15ms 3363.79ms | Avg: 3523.47ms
Size: 1152 | Runs: 4354.30ms 4433.55ms 4243.27ms 4356.53ms 4147.06ms | Avg: 4306.94ms
Size: 1280 | Runs: 7925.76ms 8178.00ms 7644.98ms 7329.59ms 7348.49ms | Avg: 7685.36ms
Size: 1408 | Runs: 9101.81ms 9315.09ms 9270.15ms 9183.19ms 9305.35ms | Avg: 9235.12ms
Size: 1536 | Runs: 15287.73ms 14729.51ms 14907.85ms 15419.63ms 15595.64ms | Avg: 15188.07ms
Size: 1664 | Runs: 15467.69ms 15479.46ms 17871.47ms 17431.57ms 14699.85ms | Avg: 16190.01ms
Size: 1792 | Runs: 28634.73ms 21396.04ms 27762.17ms 22700.63ms 22542.46ms | Avg: 24607.20ms
Size: 1920 | Runs: 27004.51ms 28532.88ms 29033.94ms 28093.36ms 27863.62ms | Avg: 28105.66ms
Size: 2048 | Runs: 43831.58ms 80930.01ms 80130.51ms 83238.74ms 83219.69ms | Avg: 74270.11ms

(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root -np 7 ./matmul
Size:  128 | Runs:   2.57ms   4.15ms   1.98ms   1.91ms   1.86ms | Avg:   2.49ms
Size:  256 | Runs:  19.92ms  18.71ms  18.32ms  22.20ms  20.35ms | Avg:  19.90ms
Size:  384 | Runs:  61.76ms  86.88ms  65.73ms  69.45ms  70.38ms | Avg:  70.84ms
Size:  512 | Runs: 333.29ms 238.02ms 289.05ms 221.13ms 280.81ms | Avg: 272.46ms
Size:  640 | Runs: 454.07ms 439.30ms 445.36ms 450.68ms 520.96ms | Avg: 462.07ms
Size:  768 | Runs: 1145.53ms 1404.02ms 1406.80ms 1379.94ms 1322.50ms | Avg: 1331.76ms
Size:  896 | Runs: 1502.62ms 1623.08ms 1553.87ms 1502.51ms 1503.82ms | Avg: 1537.18ms
Size: 1024 | Runs: 2820.37ms 2841.42ms 2868.13ms 2798.53ms 2904.08ms | Avg: 2846.51ms
Size: 1152 | Runs: 3597.55ms 3518.78ms 3668.66ms 3656.22ms 3579.82ms | Avg: 3604.21ms
