Matrix,Size,ThreadsPolicy,Time(ms),Correct
256,3,DYNAMIC,12.47,Yes
256,4,DYNAMIC,12.47,Yes
256,5,DYNAMIC,7.91,Yes
256,6,DYNAMIC,6.37,Yes
256,7,DYNAMIC,7.82,Yes
256,8,DYNAMIC,6.11,Yes
256,9,DYNAMIC,7.17,Yes
256,10,DYNAMIC,6.07,Yes
256,11,DYNAMIC,6.89,Yes
256,12,DYNAMIC,6.94,Yes
256,13,DYNAMIC,13.97,Yes
256,14,DYNAMIC,6.53,Yes
256,15,DYNAMIC,5.98,Yes
256,16,DYNAMIC,6.95,Yes
384,1,DYNAMIC,119.14,Yes
384,2,DYNAMIC,61.31,Yes
384,3,DYNAMIC,55.58,Yes
384,4,DYNAMIC,32.31,Yes
384,5,DYNAMIC,28.85,Yes
384,6,DYNAMIC,28.77,Yes
384,7,DYNAMIC,28.32,Yes
384,8,DYNAMIC,28.67,Yes
384,9,DYNAMIC,23.6,Yes
384,10,DYNAMIC,22.45,Yes
384,11,DYNAMIC,24.72,Yes
384,12,DYNAMIC,25.05,Yes
384,13,DYNAMIC,23.59,Yes
384,14,DYNAMIC,23.93,Yes
384,15,DYNAMIC,23.61,Yes
384,16,DYNAMIC,21.96,Yes
512,1,DYNAMIC,323.75,Yes
512,2,DYNAMIC,184,Yes
512,3,DYNAMIC,127.2,Yes
512,4,DYNAMIC,109.42,Yes
512,5,DYNAMIC,85.47,Yes
512,6,DYNAMIC,73.57,Yes
512,7,DYNAMIC,73.71,Yes
512,8,DYNAMIC,74.2,Yes
512,9,DYNAMIC,67.44,Yes
512,10,DYNAMIC,64.09,Yes
512,11,DYNAMIC,60.04,Yes
512,12,DYNAMIC,57.07,Yes
512,13,DYNAMIC,55.75,Yes
512,14,DYNAMIC,55.76,Yes
512,15,DYNAMIC,59.11,Yes
512,16,DYNAMIC,56.68,Yes
640,1,DYNAMIC,561.8,Yes
640,2,DYNAMIC,323.5,Yes
640,3,DYNAMIC,218.66,Yes
640,4,DYNAMIC,173.56,Yes
640,5,DYNAMIC,147.29,Yes
640,6,DYNAMIC,133.03,Yes
640,7,DYNAMIC,132.42,Yes
640,8,DYNAMIC,112.84,Yes
640,9,DYNAMIC,117.66,Yes
640,10,DYNAMIC,110.45,Yes
640,11,DYNAMIC,113.86,Yes
640,12,DYNAMIC,97.13,Yes
640,13,DYNAMIC,99.77,Yes
640,14,DYNAMIC,99.77,Yes
640,15,DYNAMIC,106.77,Yes
640,16,DYNAMIC,105.28,Yes
768,1,DYNAMIC,1008.52,Yes
768,2,DYNAMIC,532.42,Yes
768,3,DYNAMIC,396.38,Yes
768,4,DYNAMIC,317.23,Yes
768,5,DYNAMIC,259.23,Yes
768,6,DYNAMIC,236.25,Yes
768,7,DYNAMIC,217.73,Yes
768,8,DYNAMIC,206.62,Yes
768,9,DYNAMIC,186.74,Yes
768,10,DYNAMIC,193.89,Yes
768,11,DYNAMIC,175.69,Yes
768,12,DYNAMIC,179.86,Yes
768,13,DYNAMIC,170.94,Yes
768,14,DYNAMIC,176.04,Yes
768,15,DYNAMIC,180.83,Yes
768,16,DYNAMIC,166.39,Yes
896,1,DYNAMIC,1656.87,Yes
896,2,DYNAMIC,879.88,Yes
896,3,DYNAMIC,655.59,Yes
896,4,DYNAMIC,494.43,Yes
896,5,DYNAMIC,452.56,Yes
896,6,DYNAMIC,386.14,Yes
896,7,DYNAMIC,354.76,Yes
896,8,DYNAMIC,335.6,Yes
896,9,DYNAMIC,311.94,Yes
896,10,DYNAMIC,294.86,Yes
896,11,DYNAMIC,280.34,Yes
896,12,DYNAMIC,289.57,Yes
896,13,DYNAMIC,296.6,Yes
896,14,DYNAMIC,316.38,Yes
896,15,DYNAMIC,321.52,Yes
896,16,DYNAMIC,329.53,Yes
1024,1,DYNAMIC,3283.93,Yes
1024,2,DYNAMIC,1810.59,Yes
1024,3,DYNAMIC,1212.11,Yes
1024,4,DYNAMIC,1004.32,Yes
1024,5,DYNAMIC,828.44,Yes
1024,6,DYNAMIC,803.26,Yes
1024,7,DYNAMIC,718.13,Yes
1024,8,DYNAMIC,635.19,Yes
1024,9,DYNAMIC,642.12,Yes
1024,10,DYNAMIC,591.91,Yes
1024,11,DYNAMIC,650.2,Yes
1024,12,DYNAMIC,667.54,Yes
1024,13,DYNAMIC,640.45,Yes
1024,14,DYNAMIC,664.81,Yes
1024,15,DYNAMIC,655.98,Yes
1024,16,DYNAMIC,671.6,Yes
1152,1,DYNAMIC,3402.05,Yes
1152,2,DYNAMIC,2109.41,Yes
1152,3,DYNAMIC,1438.71,Yes
1152,4,DYNAMIC,1145.29,Yes
1152,5,DYNAMIC,1018.4,Yes
1152,6,DYNAMIC,857.65,Yes
1152,7,DYNAMIC,842.7,Yes
1152,8,DYNAMIC,754.71,Yes
1152,9,DYNAMIC,735.64,Yes
1152,10,DYNAMIC,747.87,Yes
1152,11,DYNAMIC,737.04,Yes
1152,12,DYNAMIC,757.74,Yes
1152,13,DYNAMIC,778.3,Yes
1152,14,DYNAMIC,784.26,Yes
1152,15,DYNAMIC,839.46,Yes
1152,16,DYNAMIC,979.87,Yes
1280,1,DYNAMIC,5499.18,Yes
1280,2,DYNAMIC,3271.53,Yes
1280,3,DYNAMIC,2301.95,Yes
1280,4,DYNAMIC,1951.71,Yes
1280,5,DYNAMIC,1804.84,Yes
1280,6,DYNAMIC,1574.88,Yes
1280,7,DYNAMIC,1454.91,Yes
1280,8,DYNAMIC,1312.63,Yes
1280,9,DYNAMIC,1266.16,Yes
1280,10,DYNAMIC,1239.96,Yes
1280,11,DYNAMIC,1240.89,Yes
1280,12,DYNAMIC,1287.02,Yes
1280,13,DYNAMIC,1311.15,Yes
1280,14,DYNAMIC,1594.32,Yes
1280,15,DYNAMIC,1563.93,Yes
1280,16,DYNAMIC,1635.04,Yes
1408,1,DYNAMIC,6371.34,Yes
1408,2,DYNAMIC,3873.19,Yes
1408,3,DYNAMIC,2954.68,Yes
1408,4,DYNAMIC,2272.24,Yes
1408,5,DYNAMIC,2112.31,Yes
1408,6,DYNAMIC,1749.43,Yes
1408,7,DYNAMIC,1640.53,Yes
1408,8,DYNAMIC,1531.07,Yes
1408,9,DYNAMIC,1455.19,Yes
1408,10,DYNAMIC,1515.74,Yes
1408,11,DYNAMIC,1435.88,Yes
1408,12,DYNAMIC,1537.54,Yes
1408,13,DYNAMIC,1632.3,Yes
1408,14,DYNAMIC,1792.56,Yes
1408,15,DYNAMIC,1987.07,Yes
1408,16,DYNAMIC,2167.56,Yes
1536,1,DYNAMIC,11403.85,Yes
1536,2,DYNAMIC,6563.26,Yes
1536,3,DYNAMIC,4973.57,Yes
1536,4,DYNAMIC,3993.74,Yes
1536,5,DYNAMIC,3270.6,Yes
